정류소번호,정류소명,총계,성인 승차 인원,청소년 승차 인원,어린이 승차 인원,위도,경도
2001,광천터미널,1891677,1683346,196778,11553,35.16177000,126.87969568
2002,광천터미널,1437923,1266253,153018,18652,35.16126826,126.87983697
4434,경신여고,1023851,896329,122787,4735,35.17252778,126.88860000
1112,금남로4가역,997593,827221,160251,10122,35.15147237,126.91363870
4380,도로교통공단 대신파크,981625,891719,81740,8166,35.18222411,126.90916169
1147,전남대병원/남광주시장,965297,908689,50564,6044,35.14098900,126.92179400
1134,광주세무서,902826,734326,162573,5928,35.14807778,126.91286944
1122,국립아시아문화전당(구.도청),869054,746747,116121,6187,35.14800379,126.91844214
4435,경신여고,850216,710700,133257,6259,35.17282483,126.88857538
1136,충장치안센터,822757,701482,117114,4161,35.14863304,126.91375078
1130,문화전당역,796435,679787,112787,3861,35.14624502,126.91895949
3236,대성여고,749574,566367,171056,12151,35.11849223,126.89903524
1018,살레시오여고,719351,539303,172735,7314,35.14721797,126.92802730
4475,일곡사거리,716543,517605,183721,15217,35.20349800,126.89824900
1127,예술의거리입구,705384,616866,80650,7868,35.15128889,126.91694799
3209,대광여고,695085,520912,168275,5898,35.12663933,126.89785000
4171,광주병원,694400,600169,74136,20094,35.17897778,126.92926944
1142,남광주역,690372,625755,60603,4015,35.13827000,126.92193000
1017,살레시오여고,668197,546795,114573,6829,35.14730101,126.92765057
1141,남광주역,660980,608671,49571,2739,35.13859678,126.92188371
5242,선암,644199,474518,110580,59101,35.15053815,126.77291821
2276,신세계백화점,643048,584338,51068,7643,35.15849444,126.88290556
3241,동성고,639354,476949,146634,15772,35.11437558,126.89751225
4406,전남대후문(남),616988,548118,67186,1684,35.17503333,126.91247222
4467,서일초교,616670,392917,172355,51398,35.21166800,126.89763000
4432,운암3단지,604731,519853,81696,3182,35.17830200,126.87720010
4368,북부경찰서,589568,483217,100193,6158,35.18719677,126.90018889
2004,광천파출소,556399,507345,44039,5014,35.16356535,126.88388917
4175,무등도서관,556268,490679,58870,6719,35.17564123,126.92702097
2232,시청,555029,469704,63217,22108,35.15872266,126.85452528
1151,학동증심사입구역,554858,445733,95895,13231,35.13449619,126.92751916
2032,서구문화센터,549523,443009,91115,15399,35.13158700,126.85966700
4379,도로교통공단 대신파크,540268,476234,56022,8011,35.18247293,126.90904301
5445,첨단2동주민센터,539718,409499,115247,14972,35.21506830,126.84260688
5159,광주송정역,533796,398479,82150,53167,35.13826021,126.79218641
3243,진월대주아파트,523082,416650,98362,8070,35.12170389,126.89877222
3159,송하삼익아파트,521942,414476,74072,33394,35.11035011,126.89286705
5314,월곡일신아파트,513540,445530,65045,2966,35.16798333,126.80905833
1048,조선대,512826,451613,57991,3221,35.14444618,126.92621925
1146,전남대병원/남광주시장,510491,481564,25309,3618,35.14099200,126.92149000
4334,광주역,506058,430736,67788,7534,35.16480847,126.90746629
4455,운암3단지,500403,438327,58999,3077,35.17903500,126.87566700
2051,현대자동차,495850,438862,51985,5003,35.16108625,126.88507778
3091,백운우체국,491224,430787,57506,2931,35.13518611,126.90160000
4197,광주공고입구,491093,372703,108637,9753,35.18872487,126.89917988
1158,성촌,476069,330299,75739,70030,35.13403056,126.95281389
4198,광주공고입구,460368,360065,95426,4876,35.18888509,126.89885900
4411,전남대후문위,458644,425745,30190,2709,35.17879167,126.91193056
2031,서구문화센터,458042,362143,90339,5561,35.13139100,126.85938000
3208,남광주농협,452204,405328,43420,3456,35.13359531,126.90714617
4554,북구청,451708,410883,39843,982,35.17341944,126.91380000
4431,운암벽산블루밍,450837,395434,52404,2999,35.17715500,126.87815800
3161,송원대,449609,231583,142624,75401,35.11055532,126.87657222
1047,조선대,448199,400463,44732,3005,35.14477704,126.92597633
5303,신가동,448106,390713,54406,2987,35.17879430,126.82657711
4348,전남대사거리(동),443319,411515,29818,1986,35.16852800,126.90534600
4150,동천마을3단지,439903,376771,60180,2952,35.17189078,126.86315756
4170,광주병원,438567,370020,57575,10971,35.17808202,126.92921839
4349,전남대사거리(동),435675,401802,32237,1637,35.16846389,126.90446111
4165,말바우시장(동),430502,400548,27719,2234,35.17238829,126.92483439
4237,문흥라인아파트,430230,294158,95306,40766,35.18622763,126.92349817
1111,금남로4가역,425883,393145,30748,1989,35.15123889,126.91349741
4164,말바우시장(동),420067,400180,18077,1810,35.17248039,126.92448237
4235,문흥라인동산아파트,418113,231878,107779,78455,35.18943566,126.92594760
4149,동천마을3단지,416845,350809,63955,2081,35.17218989,126.86330316
4481,일곡초교,413692,306583,88521,18589,35.20683583,126.89755181
4417,말바우시장(서),410327,386678,22201,1448,35.17152778,126.92142778
2217,상무대우아파트,409431,296973,73158,39300,35.15730306,126.84751841
4441,문화예술회관,409012,371565,35589,1858,35.17545278,126.88071389
2167,양동시장역(북),406574,390720,11903,3951,35.15427850,126.90102117
4407,전남대후문(남),406298,342161,62033,2104,35.17496564,126.91270891
3114,남구문화예술회관,401986,246119,88991,66875,35.12245278,126.91761389
1160,운림중,397949,281057,66291,50601,35.13226111,126.94241667
5294,목련마을,396306,337323,56320,2663,35.17922002,126.82003630
3093,백운우체국,388008,337203,47772,3033,35.13589167,126.90144167
5149,송정공원역,382815,314727,61470,6618,35.14332892,126.79886475
4553,북구청,380545,349341,29179,2025,35.17349000,126.91435400
4377,오치한전,371176,315999,52367,2811,35.18501869,126.90570449
5111,신창중,369777,283855,83112,2811,35.19392500,126.83749722
5446,첨단2동주민센터,368401,272255,88029,8117,35.21415768,126.84305250
5254,송정공원역,365900,311878,48244,5778,35.14372061,126.79965699
5313,월곡일신아파트,362517,314207,45034,3277,35.16750863,126.80874644
4459,운암중,362258,304435,56295,1528,35.18183583,126.87272480
4369,북부경찰서,361260,296759,58794,5707,35.18734444,126.89986944
2254,월드컵경기장,358830,292777,45328,20725,35.13563756,126.87420594
5008,도산역,348057,178441,97275,72340,35.13084982,126.78749397
4254,국제고,336968,236894,94403,5670,35.19863611,126.89973889
2023,마재대주아파트,336567,258016,61346,17204,35.12749369,126.85778249
1149,학동시장,331839,301501,24507,5831,35.13701257,126.92540326
3212,백운광장,331202,282535,44058,4609,35.13095000,126.89967000
5288,하남중,331015,289329,37316,4371,35.16654444,126.80305278
2089,운천저수지,326200,288446,34420,3335,35.14915200,126.85601700
2009,금호시영아파트,325506,281337,36883,7286,35.13653000,126.85921800
2209,5.18자유공원,324336,158734,89419,76184,35.14786447,126.84041944
1163,학동무등파크,323919,247272,63322,13325,35.13265278,126.93157778
4204,매곡대화아파트,317532,247653,52249,17629,35.19210010,126.89223500
4402,유창아파트,316401,298968,16113,1319,35.17711111,126.89703889
5402,쌍암공원,315951,179798,75694,60459,35.22200043,126.84088965
2261,풍암사거리(동),315618,182804,94389,38426,35.12180977,126.86112778
3207,남광주농협,314502,255897,56592,2013,35.13387151,126.90674894
1008,대인시장(동),310527,269097,39824,1606,35.15362368,126.91980422
4251,고려고,309503,234126,71740,3637,35.19319995,126.89851617
4152,동림푸른마을,307607,260693,43838,3076,35.18713056,126.86473056
3119,라인효친,306812,228621,75835,2356,35.12761987,126.91799808
2168,양동시장역(북),305448,297658,7143,647,35.15406914,126.90118200
2305,염주사거리(동),303944,250264,52092,1588,35.14271000,126.87581000
3242,진월대주아파트,303239,244076,54825,4337,35.12125117,126.89851465
1162,무등산국립공원(증심사),301372,237929,33874,29569,35.13419167,126.95526380
1114,금남로5가역,298166,282821,14427,917,35.15298400,126.91088600
4361,오치한전,296258,244057,49163,3038,35.18559839,126.90562443
1126,예술의거리입구,292903,272043,19954,905,35.15104444,126.91631111
4566,서방시장(남),292862,264808,25298,2755,35.16634313,126.91981849
3007,농산물공판장,291458,195857,49893,45708,35.18475800,126.93222250
4469,교통연수원입구,290686,89358,151657,49671,35.21509104,126.90015162
4249,현대아파트,288391,259909,25940,2543,35.17905833,126.91751389
2003,광천파출소,284289,257373,24718,2198,35.16433600,126.88360000
4154,동천마을1단지,279590,248291,29431,1868,35.17211353,126.86001868
2306,염주사거리(서),278755,228295,47430,3030,35.14327733,126.87443458
4174,무등도서관,278593,249261,27237,2095,35.17440439,126.92650412
5304,신가동,274658,240029,31832,2798,35.17919134,126.82571782
1129,전남여고,272280,229437,41249,1594,35.15086082,126.92023410
5172,보건대입구,272248,231974,39628,647,35.19320672,126.84934253
4346,전남대,272213,250904,20592,717,35.17009722,126.90382222
5743,광주농수산물유통센터(북),271316,219049,48773,3494,35.18506600,126.81971300
1113,금남로5가역,270003,255729,13081,1193,35.15281800,126.91160500
2100,대동고,267979,118939,86535,62505,35.11359568,126.84845920
3235,대성여고,267603,197780,65878,3944,35.11800804,126.89849453
